State,state_abbrv,primary_date,days from start of primaries,donor percent - Apr,Blue_state,Registered voters,total donors,Latino,Asian,Native,Mixed Race,Black,2008 Obama %,allow_indep,caucus,donor percent - Jan,actual delegates,predicted_delegate_pct_from_model,Early_Voting,Pct_of_mothers_Breastfeeding_at_3_months,538_predictions,Nader_2000
Indiana,IN,5/3/16,92,0.62,0,4409890,2101,5.1,1.3,0.4,1.7,9.1,0.49,1,0,61,0.53,0.54,1,36,47,0.84
West Virginia,WV,5/10/16,99,0.64,0,1026221,566,2.7,0.9,8.8,2.1,3.4,0.28,1,0,64,0.62,0.6,1,28,54,1.65
Kentucky,KY,5/17/16,106,0.63,0,3012175,1279,4.6,1.4,0.3,1.7,7.8,0.32,0,0,63,0.5,0.54,0,52,55,1.5
Oregon,OR,5/17/16,106,0.78,1,2056917,5554,37.6,3.8,0.7,2.7,1.8,0.59,0,0,81,0.56,0.77,0,29,45,5.04
California,CA,6/7/16,127,0.56,1,17259680,46656,1.5,1.3,0.4,1.7,6.2,0.46,1,0,66,,0.67,0,54,46,3.82
Montana,MT,6/7/16,127,0.72,0,662093,665,1.2,0.7,0.2,1.5,0.4,0.58,1,0,73,,0.76,1,42,60,5.94
New Jersey,NJ,6/7/16,127,0.5,1,5271837,6147,13,2,1.2,2.7,13.7,0.45,0,0,53,,0.46,1,40,45,2.97
New Mexico,NM,6/7/16,127,0.69,1,1231847,2347,11.2,7.2,1.5,4.7,2.1,0.49,0,0,74,,0.74,1,56,47,3.55
North Dakota,ND,6/7/16,127,0.72,0,496906,211,7.9,5.5,0.4,2.9,1.2,0.62,0,0,73,,0.71,1,53,63,3.29
South Dakota,SD,6/7/16,127,0.63,0,519194,259,5.9,2.3,1,1.8,1.3,0.45,1,0,74,,0.77,1,43,45,
District of Colombia,DC,6/14/16,134,0.18,1,465971,4998,8.9,0.8,2.4,2.2,51,,0,0,18.3473,,0.05,0,38,36,5.24
